Name,Date Released,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Valence,Tempo,Did They Win?
Single Ladies (Put a Ring on It),2008-11-14,71,0.426,0.584,-5.293,0.296,0.0383,0.188,0.272,193.437,1
Need You Now,2010-01-01,69,0.587,0.622,-5.535,0.0303,0.0927,0.2,0.231,107.943,1
Rolling in the Deep,2011-01-19,77,0.73,0.77,-5.114,0.0298,0.138,0.0473,0.507,104.948,1
We Are Young (feat. Janelle Monáe),2012-02-14,75,0.378,0.638,-5.576,0.075,0.02,0.0849,0.735,184.086,1
Royals,2013-01-01,79,0.674,0.428,-9.504,0.122,0.121,0.132,0.337,84.878,1
Stay With Me,2014-01-01,85,0.418,0.42,-6.444,0.0414,0.588,0.11,0.184,84.094,1
Thinking out Loud,2014-06-21,84,0.781,0.445,-6.061,0.0295,0.474,0.184,0.591,78.998,1
Hello,2015-11-20,74,0.47,0.431,-6.129,0.0342,0.329,0.0854,0.289,157.98,1
That's What I Like,2016-11-17,83,0.853,0.56,-4.961,0.0406,0.013,0.0944,0.86,134.066,1
This Is America,2018-05-06,77,0.854,0.463,-6.159,0.137,0.117,0.354,0.549,120.024,1
Poker Face,2008-01-01,77,0.851,0.806,-4.62,0.0787,0.118,0.121,0.787,118.999,0
Pretty Wings - uncut,2009-07-07,60,0.563,0.402,-10.496,0.0668,0.252,0.0886,0.2,115.561,0
Use Somebody,2008-09-23,77,0.276,0.715,-5.356,0.0432,0.00552,0.201,0.173,137.028,0
You Belong With Me,2008-11-10,71,0.687,0.745,-4.432,0.0379,0.178,0.111,0.435,129.966,0
Beg Steal or Borrow,2010-08-13,54,0.472,0.55,-8.516,0.028,0.461,0.172,0.395,148.101,0
F**K You,2018-06-15,32,0.689,0.836,-6.058,0.0559,0.187,0.162,0.749,127.411,0
The House That Built Me,2009-09-24,67,0.515,0.3,-8.005,0.0289,0.575,0.115,0.206,81.12,0
Love The Way You Lie,2010-06-18,82,0.749,0.925,-5.034,0.227,0.241,0.52,0.641,86.989,0
All Of The Lights,2010-01-01,77,0.541,0.803,-3.284,0.0738,0.0796,0.176,0.221,142.135,0
The Cave,2009-01-01,65,0.592,0.499,-9.463,0.0374,0.0536,0.113,0.345,141.938,0
Grenade,2010-10-05,75,0.706,0.558,-7.237,0.0593,0.146,0.118,0.227,110.443,0
Holocene,2011-05-21,67,0.379,0.306,-14.446,0.0305,0.942,0.123,0.157,147.902,0
The A Team,2011-09-09,77,0.642,0.289,-9.918,0.0367,0.669,0.18,0.407,84.996,0
Adorn,2012,63,0.625,0.576,-5.693,0.175,0.0543,0.187,0.235,179.063,0
Call Me Maybe,2012-01-01,76,0.783,0.58,-6.548,0.0408,0.0114,0.108,0.66,120.021,0
Stronger (What Doesn't Kill You),2011-10-24,74,0.562,0.939,-4.282,0.0475,0.046,0.112,0.684,116.044,0
Just Give Me a Reason (feat. Nate Ruess),2012-09-18,82,0.778,0.547,-7.273,0.0489,0.346,0.132,0.441,95.002,0
Locked Out of Heaven,2012-12-07,79,0.726,0.698,-4.165,0.0431,0.049,0.309,0.867,143.994,0
Roar,2013-01-01,78,0.554,0.772,-4.821,0.0418,0.00487,0.354,0.455,179.984,0
Same Love (feat. Mary Lambert),2012-10-09,54,0.56,0.475,-9.05,0.173,0.718,0.0994,0.308,84.899,0
Take Me To Church,2014-07-20,81,0.566,0.664,-5.303,0.0464,0.634,0.116,0.437,128.945,0
Chandelier,2015-05-01,71,0.399,0.787,-2.88,0.0499,0.0197,0.0685,0.572,117.089,0
Shake It Off,2014-01-01,78,0.647,0.8,-5.384,0.165,0.0647,0.334,0.942,160.078,0
All About That Bass,2015-01-09,56,0.812,0.869,-3.698,0.0503,0.044,0.118,0.963,134.087,0
Alright,2015-03-16,74,0.796,0.766,-5.974,0.238,0.0742,0.0827,0.558,110.034,0
Blank Space,2014-01-01,79,0.76,0.703,-5.412,0.054,0.103,0.0913,0.57,95.997,0
Girl Crush,2014-10-21,70,0.5,0.225,-10.22,0.0302,0.842,0.112,0.355,173.788,0
See You Again (feat. Charlie Puth),2015,81,0.689,0.481,-7.503,0.0815,0.369,0.0649,0.283,80.025,0
Formation,2016-04-23,77,0.896,0.621,-6.857,0.237,0.00532,0.196,0.818,121.966,0
I Took A Pill In Ibiza,2016-05-06,58,0.636,0.319,-10.065,0.0718,0.618,0.125,0.378,74.109,0
Love Yourself,2015-11-13,83,0.609,0.378,-9.828,0.438,0.835,0.28,0.515,100.418,0
7 Years,2016-03-25,53,0.765,0.472,-5.837,0.052,0.291,0.389,0.352,119.946,0
Despacito - Remix,2017-04-17,76,0.653,0.816,-4.353,0.167,0.228,0.0967,0.816,178.086,0
4:44,2017-07-07,63,0.261,0.852,-4.965,0.158,0.139,0.477,0.431,177.997,0
Issues,2017-07-28,75,0.686,0.415,-6.855,0.0752,0.39,0.0617,0.446,114.205,0
1-800-273-8255,2017-05-05,82,0.62,0.574,-7.788,0.0479,0.57,0.19,0.352,100.021,0
All The Stars (with SZA),2018-02-09,80,0.698,0.633,-4.946,0.0597,0.0605,0.0926,0.552,96.924,0
Boo'd Up,2017-02-22,77,0.561,0.779,-5.107,0.0531,0.0862,0.078,0.235,81.965,0
God's Plan,2018-06-29,86,0.754,0.449,-9.211,0.109,0.0332,0.552,0.357,77.169,0
